                                                                                                                                                                                                                                                                                                                                                       2 Mar 2020 12:02:49
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SunSat2


Entrance Pass Number      Entrance Time (UTCG)      Entrance Altitude (km)    Entrance Latitude (deg)    Entrance Longitude (deg)    Entrance Flux intensity (m^-2*sec^-1*Sterad^-1)    Exit Pass Number        Exit Time (UTCG)        Exit Altitude (km)    Exit Latitude (deg)    Exit Longitude (deg)    Exit Flux intensity (m^-2*sec^-1*Sterad^-1)    Duration (sec)
--------------------    ------------------------    ----------------------    -----------------------    ------------------------    -----------------------------------------------    ----------------    ------------------------    ------------------    -------------------    --------------------    -------------------------------------------    --------------
                   1    19 Feb 2020 00:00:00.000               1688.000000                      0.000                     -86.250                                       40074123.535                   1    19 Feb 2020 00:04:27.750           1689.087503                 13.077                 -90.425                                    7891821.289           267.750
                   1    19 Feb 2020 01:47:51.358               1695.412247                    -36.163                    -103.545                                        7892139.893                   2    19 Feb 2020 02:05:57.971           1689.759387                 16.724                -121.701                                    7891832.886          1086.614
                   2    19 Feb 2020 02:55:25.157               1689.340853                     14.550                      53.315                                        7891849.976                   2    19 Feb 2020 03:07:15.702           1690.517750                -20.132                  42.102                                    7892063.599           710.545
                   2    19 Feb 2020 03:51:55.386               1691.833878                    -25.127                    -138.044                                        7891820.068                   3    19 Feb 2020 04:08:35.636           1691.418838                 23.642                -154.172                                    7891821.289          1000.250
                   3    19 Feb 2020 04:52:12.227               1691.708108                     24.684                      26.762                                        7892100.220                   3    19 Feb 2020 05:08:04.849           1690.924416                -21.772                  11.464                                    7892160.645           952.622
                   3    19 Feb 2020 05:56:30.249               1688.995585                    -12.503                    -172.455                                        7891821.289                   4    19 Feb 2020 06:10:01.455           1692.399860                 27.056                 174.504                                    7892050.171           811.206
                   4    19 Feb 2020 06:51:13.729               1692.769544                     28.265                      -1.960                                        7892109.985                   4    19 Feb 2020 07:11:06.789           1693.267806                -29.843                 -21.604                                    7891853.638          1193.060
                   5    19 Feb 2020 08:52:50.932               1691.600880                     24.302                     -33.506                                        7892240.601                   5    19 Feb 2020 09:14:58.288           1696.882633                -40.226                 -56.201                                    7891821.289          1327.356
                   6    19 Feb 2020 10:56:25.356               1689.353577                     14.620                     -66.919                                        7892180.786                   6    19 Feb 2020 11:15:07.181           1696.768361                -39.915                 -86.114                                    7891824.341          1121.826
                   7    19 Feb 2020 12:56:56.075               1689.221492                     13.874                     -97.230                                        7892017.822                   7    19 Feb 2020 13:13:04.333           1694.408839                -33.283                -113.194                                    7892246.094           968.259
                   7    19 Feb 2020 13:58:40.183               1688.539396                     -9.170                      66.208                                        7891884.766                   8    19 Feb 2020 14:02:40.726           1688.043128                  2.583                  62.486                                    7891862.183           240.542
                   8    19 Feb 2020 14:55:46.590               1690.031489                     18.011                    -125.909                                        7892195.435                   8    19 Feb 2020 15:10:22.408           1691.715366                -24.710                -139.913                                    7892038.574           875.818
                   8    19 Feb 2020 15:55:05.494               1690.578787                    -20.385                      39.876                                        7891820.068                   9    19 Feb 2020 16:10:32.851           1691.752917                 24.843                  25.006                                    7891833.496           927.358
                   9    19 Feb 2020 16:54:06.934               1691.408785                     23.605                    -154.016                                        7892110.596                   9    19 Feb 2020 17:07:15.010           1689.394660                -14.845                -166.555                                    7891914.063           788.076
                   9    19 Feb 2020 17:54:51.953               1690.929621                    -21.793                      10.305                                        7891862.183                  10    19 Feb 2020 18:11:48.635           1692.616351                 27.768                  -6.152                                    7891948.242          1016.682
                  10    19 Feb 2020 18:53:11.362               1692.397150                     27.047                     177.190                                        7891820.068                  10    19 Feb 2020 19:03:11.358           1688.031213                 -2.197                 167.448                                    7891822.510           599.996
                  10    19 Feb 2020 19:52:57.587               1692.714284                    -28.086                     -17.446                                        7892242.432                  11    19 Feb 2020 20:10:48.124           1691.541630                 24.088                 -34.847                                    7891848.145          1070.536
                  11    19 Feb 2020 21:50:01.725               1695.818790                    -37.301                     -43.675                                        7892317.505                  12    19 Feb 2020 22:08:09.526           1689.541278                 15.625                 -61.975                                    7892241.211          1087.801
                  12    19 Feb 2020 23:48:55.962               1697.234648                    -41.181                     -71.885                                        7891820.679                  13    20 Feb 2020 00:07:32.881           1689.089135                 13.087                 -91.199                                    7892243.652          1116.918
                  13    20 Feb 2020 01:51:01.433               1695.324650                    -35.916                    -104.425                                        7892109.985                  14    20 Feb 2020 02:09:09.270           1689.823393                 17.034                -122.576                                    7891823.120          1087.837
                  14    20 Feb 2020 02:58:21.649               1689.415981                     14.961                      52.680                                        7891984.253                  14    20 Feb 2020 03:10:22.582           1690.540589                -20.227                  41.299                                    7892098.389           720.932
                  14    20 Feb 2020 03:55:03.830               1691.785259                    -24.957                    -138.877                                        7892041.016                  15    20 Feb 2020 04:11:44.783           1691.474936                 23.847                -155.016                                    7892078.247          1000.953
                  15    20 Feb 2020 04:55:15.626               1691.729013                     24.758                      26.018                                        7892098.389                  15    20 Feb 2020 05:11:09.540           1690.921495                -21.761                  10.697                                    7892076.416           953.913
                  15    20 Feb 2020 05:59:41.850               1688.945153                    -12.177                    -173.332                                        7891822.510                  16    20 Feb 2020 06:13:04.300           1692.369546                 26.955                 173.771                                    7892047.119           802.450
                  16    20 Feb 2020 06:54:22.028               1692.719026                     28.102                      -2.793                                        7892109.375                  16    20 Feb 2020 07:14:20.203           1693.400019                -30.253                 -22.537                                    7891917.114          1198.175
                  17    20 Feb 2020 08:55:58.194               1691.569353                     24.188                     -34.318                                        7892238.159                  17    20 Feb 2020 09:18:04.217           1696.900240                -40.274                 -56.995                                    7891821.289          1326.023
                  18    20 Feb 2020 10:59:32.346               1689.335394                     14.520                     -67.723                                        7892177.734                  18    20 Feb 2020 11:18:10.264           1696.736080                -39.827                 -86.842                                    7891822.510          1117.918
                  19    20 Feb 2020 12:59:59.994               1689.229978                     13.923                     -97.984                                        7891937.256                  19    20 Feb 2020 13:16:06.477           1694.363129                -33.149                -113.909                                    7892235.718           966.483
                  19    20 Feb 2020 14:01:22.570               1688.675174                    -10.270                      65.792                                        7891823.730                  20    20 Feb 2020 14:06:18.796           1688.114046                  4.203                  61.204                                    7891820.068           296.226
                  20    20 Feb 2020 14:58:47.280               1690.076714                     18.217                    -126.610                                        7892202.759                  20    20 Feb 2020 15:13:23.245           1691.659553                -24.512                -140.611                                    7892124.634           875.964
                  20    20 Feb 2020 15:58:08.882               1690.596949                    -20.460                      39.131                                        7891821.289                  21    20 Feb 2020 16:13:38.752           1691.766319                 24.890                  24.218                                    7891845.703           929.870
                  21    20 Feb 2020 16:57:08.379               1691.454965                     23.774                    -154.725                                        7892127.075                  21    20 Feb 2020 17:10:14.821           1689.349199                -14.596                -167.242                                    7892061.768           786.442
                  21    20 Feb 2020 17:57:54.171               1690.963398                    -21.924                       9.581                                        7892083.130                  22    20 Feb 2020 18:14:53.267           1692.611988                 27.754                  -6.917                                    7891984.863          1019.096
                  22    20 Feb 2020 18:56:15.123               1692.414138                     27.103                     176.441                                        7891821.289                  22    20 Feb 2020 19:06:07.306           1688.019995                 -1.758                 166.815                                    7891831.665           592.182
                  22    20 Feb 2020 19:55:59.126               1692.765005                    -28.250                     -18.154                                        7892222.290                  23    20 Feb 2020 20:13:49.530           1691.494469                 23.918                 -35.556                                    7891956.177          1070.404
                  23    20 Feb 2020 21:53:03.569               1695.871881                    -37.449                     -44.378                                        7892345.581                  24    20 Feb 2020 22:11:10.570           1689.505066                 15.436                 -62.682                                    7891820.068          1087.002
                  24    20 Feb 2020 23:52:01.702               1697.220312                    -41.143                     -72.675                                        7891820.068                  25    21 Feb 2020 00:10:39.460           1689.102365                 13.167                 -91.996                                    7892269.287          1117.757
                  25    21 Feb 2020 01:54:12.043               1695.228211                    -35.643                    -105.316                                        7892084.961                  26    21 Feb 2020 02:12:19.603           1689.878505                 17.297                -123.435                                    7892043.457          1087.560
                  26    21 Feb 2020 03:01:17.046               1689.503144                     15.426                      52.064                                        7891873.779                  26    21 Feb 2020 03:13:29.408           1690.562892                -20.319                  40.496                                    7892120.972           732.362
                  26    21 Feb 2020 03:58:12.697               1691.731076                    -24.766                    -139.717                                        7891824.341                  27    21 Feb 2020 04:14:54.005           1691.532413                 24.055                -155.863                                    7891997.070          1001.308
                  27    21 Feb 2020 04:58:19.167               1691.748016                     24.825                      25.272                                        7891820.679                  27    21 Feb 2020 05:14:16.666           1690.948889                -21.868                   9.889                                    7891820.679           957.498
                  27    21 Feb 2020 06:02:54.053               1688.891601                    -11.822                    -174.218                                        7891823.120                  28    21 Feb 2020 06:16:07.053           1692.337988                 26.850                 173.040                                    7892043.457           793.001
                  28    21 Feb 2020 06:57:30.064               1692.672603                     27.951                      -3.622                                        7891937.256                  28    21 Feb 2020 07:17:29.673           1693.471220                -30.473                 -23.395                                    7891867.065          1199.609
                  29    21 Feb 2020 08:59:06.627               1691.522210                     24.018                     -35.150                                        7892211.914                  29    21 Feb 2020 09:21:10.141           1696.917756                -40.322                 -57.789                                    7891820.679          1323.514
                  30    21 Feb 2020 11:02:39.314               1689.317526                     14.420                     -68.526                                        7892163.086                  30    21 Feb 2020 11:21:13.261           1696.702297                -39.735                 -87.568                                    7891822.510          1113.947
                  31    21 Feb 2020 13:03:04.186               1689.236186                     13.959                     -98.743                                        7891953.125                  31    21 Feb 2020 13:19:08.466           1694.314964                -33.008                -114.620                                    7891820.068           964.279
                  31    21 Feb 2020 14:04:12.539               1688.773373                    -11.000                      65.258                                        7892030.640                  32    21 Feb 2020 14:10:01.530           1688.235890                  6.050                  59.848                                    7891857.910           348.991
                  32    21 Feb 2020 15:01:48.068               1690.121331                     18.418                    -127.311                                        7891820.679                  32    21 Feb 2020 15:16:24.059           1691.603773                -24.312                -141.309                                    7892177.124           875.991
                  32    21 Feb 2020 16:01:12.350               1690.614213                    -20.531                      38.385                                        7892218.018                  33    21 Feb 2020 16:16:44.546           1691.778267                 24.932                  23.432                                    7891857.300           932.196
                  33    21 Feb 2020 17:00:09.686               1691.503235                     23.949                    -155.432                                        7892129.517                  33    21 Feb 2020 17:13:14.434           1689.302712                -14.337                -167.927                                    7892094.116           784.748
                  33    21 Feb 2020 18:00:56.284               1690.998642                    -22.061                       8.859                                        7892030.029                  34    21 Feb 2020 18:17:58.223           1692.612438                 27.755                  -7.688                                    7891830.444          1021.939
                  34    21 Feb 2020 18:59:18.716               1692.433615                     27.167                     175.695                                        7891826.782                  34    21 Feb 2020 19:09:01.686           1688.009993                 -1.243                 166.207                                    7891832.275           582.969
                  34    21 Feb 2020 19:59:01.109               1692.809208                    -28.393                     -18.869                                        7892286.377                  35    21 Feb 2020 20:16:50.429           1691.440824                 23.722                 -36.256                                    7891895.752          1069.320
                  35    21 Feb 2020 21:56:04.741               1695.936637                    -37.629                     -45.066                                        7891820.068                  36    21 Feb 2020 22:14:11.540           1689.468568                 15.243                 -63.388                                    7892234.497          1086.800
                  36    21 Feb 2020 23:55:07.494               1697.205067                    -41.101                     -73.467                                        7891821.899                  37    22 Feb 2020 00:13:47.009           1689.123512                 13.295                 -92.809                                    7892261.963          1119.515
                  37    22 Feb 2020 01:57:23.289               1695.121326                    -35.339                    -106.219                                        7892032.471                  38    22 Feb 2020 02:15:29.199           1689.926698                 17.525                -124.283                                    7891884.155          1085.910
                  38    22 Feb 2020 03:04:12.234               1689.594679                     15.900                      51.452                                        7892000.122                  38    22 Feb 2020 03:16:36.057           1690.583194                -20.403                  39.696                                    7892156.372           743.824
                  38    22 Feb 2020 04:01:22.658               1691.662287                    -24.521                    -140.577                                        7892114.868                  39    22 Feb 2020 04:18:03.141           1691.589092                 24.259                -156.707                                    7891824.341          1000.483
                  39    22 Feb 2020 05:01:23.121               1691.761382                     24.873                      24.519                                        7891820.068                  39    22 Feb 2020 05:17:24.760           1690.988523                -22.022                   9.064                                    7891820.068           961.639
                  39    22 Feb 2020 06:06:07.005               1688.834259                    -11.430                    -175.116                                        7891821.899                  40    22 Feb 2020 06:19:09.513           1692.302254                 26.730                 172.315                                    7891953.125           782.507
                  40    22 Feb 2020 07:00:37.877               1692.629659                     27.811                      -4.445                                        7892157.593                  40    22 Feb 2020 07:20:38.907           1693.539002                -30.681                 -24.248                                    7891892.090          1201.030
                  41    22 Feb 2020 09:02:16.118               1691.461223                     23.797                     -36.001                                        7892138.672                  41    22 Feb 2020 09:24:16.192           1696.937504                -40.376                 -58.586                                    7891841.431          1320.073
                  42    22 Feb 2020 11:05:46.375               1689.298964                     14.316                     -69.331                                        7892145.996                  42    22 Feb 2020 11:24:16.164           1696.666911                -39.639                 -88.291                                    7891823.120          1109.790
                  43    22 Feb 2020 13:06:08.326               1689.242851                     13.997                     -99.501                                        7891942.139                  43    22 Feb 2020 13:22:10.272           1694.263918                -32.858                -115.328                                    7892209.473           961.945
                  43    22 Feb 2020 14:07:05.240               1688.858380                    -11.597                      64.681                                        7892041.626                  44    22 Feb 2020 14:13:31.165           1688.338862                  7.257                  58.693                                    7891863.403           385.925
                  44    22 Feb 2020 15:04:50.736               1690.145843                     18.528                    -128.044                                        7891822.510                  44    22 Feb 2020 15:19:24.852           1691.548034                -24.112                -142.007                                    7892182.007           874.115
                  44    22 Feb 2020 16:04:15.883               1690.630746                    -20.599                      37.639                                        7892221.069                  45    22 Feb 2020 16:19:50.249           1691.788990                 24.970                  22.648                                    7891872.559           934.366
                  45    22 Feb 2020 17:03:11.046               1691.551074                     24.122                    -156.140                                        7892009.888                  45    22 Feb 2020 17:16:13.836           1689.255184                -14.068                -168.609                                    7892123.413           782.790
                  45    22 Feb 2020 18:03:58.291               1691.035397                    -22.203                       8.139                                        7892000.122                  46    22 Feb 2020 18:21:04.146           1692.627232                 27.804                  -8.477                                    7891834.106          1025.855
                  46    22 Feb 2020 19:02:24.855               1692.415900                     27.109                     174.902                                        7891823.120                  46    22 Feb 2020 19:11:53.668           1688.002410                 -0.610                 165.636                                    7891893.311           568.813
                  46    22 Feb 2020 20:02:02.490               1692.862653                    -28.564                     -19.574                                        7892209.473                  47    22 Feb 2020 20:19:50.711           1691.379359                 23.497                 -36.945                                    7892214.966          1068.220
