"Time (UTCG)","Effective Area (m^2)","Solar Intensity"
21 Dec 2016 09:00:00.000,1.033464,1.000000
21 Dec 2016 09:01:00.000,1.033441,1.000000
21 Dec 2016 09:02:00.000,1.033419,1.000000
21 Dec 2016 09:03:00.000,1.033441,1.000000
21 Dec 2016 09:04:00.000,1.033464,1.000000
21 Dec 2016 09:05:00.000,1.033419,1.000000
21 Dec 2016 09:06:00.000,1.033419,1.000000
21 Dec 2016 09:07:00.000,1.033441,1.000000
21 Dec 2016 09:08:00.000,1.033396,1.000000
21 Dec 2016 09:09:00.000,1.033396,1.000000
21 Dec 2016 09:10:00.000,1.033396,1.000000
21 Dec 2016 09:11:00.000,1.033441,1.000000
21 Dec 2016 09:12:00.000,1.033441,1.000000
21 Dec 2016 09:13:00.000,1.033419,1.000000
21 Dec 2016 09:14:00.000,1.033441,1.000000
21 Dec 2016 09:15:00.000,1.033487,1.000000
21 Dec 2016 09:16:00.000,1.033487,1.000000
21 Dec 2016 09:17:00.000,1.033487,1.000000
21 Dec 2016 09:18:00.000,1.033533,1.000000
21 Dec 2016 09:19:00.000,1.033533,1.000000
21 Dec 2016 09:20:00.000,1.033487,1.000000
21 Dec 2016 09:21:00.000,0.000000,0.000000
21 Dec 2016 09:22:00.000,0.000000,0.000000
21 Dec 2016 09:23:00.000,0.000000,0.000000
21 Dec 2016 09:24:00.000,0.000000,0.000000
21 Dec 2016 09:25:00.000,0.000000,0.000000
21 Dec 2016 09:26:00.000,0.000000,0.000000
21 Dec 2016 09:27:00.000,0.000000,0.000000
21 Dec 2016 09:28:00.000,0.000000,0.000000
21 Dec 2016 09:29:00.000,0.000000,0.000000
21 Dec 2016 09:30:00.000,0.000000,0.000000
21 Dec 2016 09:31:00.000,0.000000,0.000000
21 Dec 2016 09:32:00.000,0.000000,0.000000
21 Dec 2016 09:33:00.000,0.000000,0.000000
21 Dec 2016 09:34:00.000,0.000000,0.000000
21 Dec 2016 09:35:00.000,0.000000,0.000000
21 Dec 2016 09:36:00.000,0.000000,0.000000
21 Dec 2016 09:37:00.000,0.000000,0.000000
21 Dec 2016 09:38:00.000,0.000000,0.000000
21 Dec 2016 09:39:00.000,0.000000,0.000000
21 Dec 2016 09:40:00.000,0.000000,0.000000
21 Dec 2016 09:41:00.000,0.000000,0.000000
21 Dec 2016 09:42:00.000,0.000000,0.000000
21 Dec 2016 09:43:00.000,0.000000,0.000000
21 Dec 2016 09:44:00.000,0.000000,0.000000
21 Dec 2016 09:45:00.000,0.000000,0.000000
21 Dec 2016 09:46:00.000,0.000000,0.000000
21 Dec 2016 09:47:00.000,0.000000,0.000000
21 Dec 2016 09:48:00.000,0.000000,0.000000
21 Dec 2016 09:49:00.000,0.000000,0.000000
21 Dec 2016 09:50:00.000,0.000000,0.000000
21 Dec 2016 09:51:00.000,0.000000,0.000000
21 Dec 2016 09:52:00.000,0.000000,0.000000
21 Dec 2016 09:53:00.000,0.000000,0.000000
21 Dec 2016 09:54:00.000,1.033350,1.000000
21 Dec 2016 09:55:00.000,1.033373,1.000000
21 Dec 2016 09:56:00.000,1.033419,1.000000
21 Dec 2016 09:57:00.000,1.033419,1.000000
21 Dec 2016 09:58:00.000,1.033396,1.000000
21 Dec 2016 09:59:00.000,1.033441,1.000000
21 Dec 2016 10:00:00.000,1.033441,1.000000
21 Dec 2016 10:01:00.000,1.033464,1.000000
21 Dec 2016 10:02:00.000,1.033464,1.000000
21 Dec 2016 10:03:00.000,1.033464,1.000000
21 Dec 2016 10:04:00.000,1.033464,1.000000
21 Dec 2016 10:05:00.000,1.033464,1.000000
21 Dec 2016 10:06:00.000,1.033464,1.000000
21 Dec 2016 10:07:00.000,1.033510,1.000000
